"","Decem.ber"
"1",1072444
"2",0
"3",40
"4",18
"5",2359
"6",3168
"7",0
"8",0
"9",266
"10",85
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",26495
"18",0
"19",13
"20",0
"21",0
"22",600
"23",0
"24",13244
"25",0
"26",13
"27",100418
"28",0
"29",5745
"30",0
"31",0
"32",0
"33",0
"34",0
"35",569
"36",699
"37",69
"38",630882
"39",72791
"40",0
"41",0
"42",6
"43",390
"44",7502
"45",10
"46",4
"47",0
"48",0
"49",0
"50",0
"51",0
"52",205
"53",2
"54",5
"55",230
"56",6222
"57",1516
"58",3173
"59",6457
"60",994
"61",1240
"62",6013
"63",0
"64",415
"65",3565
"66",0
"67",1688
"68",56
"69",6083
"70",1160
"71",0
"72",267
"73",6
"74",0
"75",0
"76",0
"77",160
"78",0
"79",317
"80",1224
"81",0
"82",8
"83",264
"84",160
"85",0
"86",7
"87",51
"88",0
"89",9
"90",53
"91",0
"92",64
"93",1028
"94",0
"95",187
"96",0
"97",321
"98",55
"99",6183
"100",139
"101",0
"102",1046
"103",220216
"104",0
"105",0
"106",0
"107",0
"108",1893
"109",138710
"110",0
"111",67
"112",299
"113",1172
"114",1432
"115",1310
"116",180
"117",756
"118",68
"119",0
"120",0
"121",20
"122",12
"123",169
"124",7604
"125",0
"126",0
"127",7095
"128",0
"129",129
"130",112
"131",0
"132",19543
"133",559
"134",150
"135",5226
"136",0
"137",0
"138",9643
"139",0
"140",1261
"141",0
"142",0
"143",288248
"144",550
"145",0
"146",183937
"147",7482
"148",101
"149",197
"150",4284
"151",0
"152",0
"153",746
"154",104
"155",0
"156",11
"157",41
"158",0
"159",63
"160",6
"161",359
"162",139076
"163",56827
"164",79654
"165",2
"166",0
"167",0
"168",550
"169",0
"170",3928
"171",198
"172",2329
"173",0
"174",0
"175",0
"176",0
"177",0
"178",92
"179",0
"180",0
"181",331
"182",898
"183",165
"184",6065014
"185",0
"186",121
"187",14588
"188",10
"189",90
"190",0
"191",68143
"192",20016
"193",0
"194",0
"195",4452
"196",122
"197",0
"198",37850
"199",0
"200",7418
"201",0
"202",136281
"203",14223
"204",6534
"205",3166
"206",0
"207",0
"208",28
"209",0
"210",0
"211",0
"212",0
"213",2754
"214",1075
"215",334
"216",0
"217",1541
"218",1305970
"219",0
"220",2
"221",0
"222",398
"223",186
"224",0
"225",147
"226",0
"227",267
"228",109180
"229",8768
"230",0
"231",0
"232",0
"233",0
