"","December"
"1",2450507
"2",126
"3",0
"4",144
"5",17
"6",66629
"7",172
"8",18890
"9",0
"10",1400
"11",0
"12",0
"13",0
"14",25124
"15",320
"16",179
"17",12
"18",2442
"19",0
"20",684
"21",1298
"22",912
"23",0
"24",34
"25",0
"26",2108
"27",14436
"28",0
"29",0
"30",1407
"31",47
"32",39
"33",52726
"34",0
"35",12
"36",667
"37",1230155
"38",0
"39",0
"40",564
"41",0
"42",21
"43",7
"44",61
"45",282695
"46",0
"47",183954
"48",0
"49",25
"50",0
"51",0
"52",620
"53",28750
"54",2
"55",255
"56",0
"57",45
"58",29
"59",250
"60",568
"61",0
"62",81
"63",22874
"64",1680
"65",3182
"66",9812
"67",3314
"68",4211
"69",0
"70",6514
"71",1237
"72",91304
"73",2604
"74",62
"75",0
"76",15
"77",11622
"78",4057
"79",145
"80",264
"81",14
"82",0
"83",12224
"84",5
"85",18
"86",590
"87",358
"88",4666
"89",11569
"90",964
"91",21733
"92",107
"93",210
"94",143
"95",1298
"96",2099
"97",58
"98",0
"99",0
"100",8
"101",2586
"102",32
"103",0
"104",0
"105",308
"106",3564
"107",2358
"108",42457
"109",239
"110",1552
"111",352656
"112",0
"113",1260
"114",0
"115",34
"116",52100
"117",11135164
"118",8853
"119",454
"120",2736
"121",0
"122",14416
"123",5886
"124",0
"125",503
"126",0
"127",773
"128",0
"129",0
"130",0
"131",1492
"132",161
"133",0
"134",10504
"135",0
"136",0
"137",5025
"138",822
"139",48850
"140",1085
"141",0
"142",0
"143",14570
"144",232
"145",3
"146",0
"147",36024
"148",0
"149",0
"150",0
"151",487483
"152",28052
"153",0
"154",0
"155",107
"156",235663
"157",41211
"158",1427
"159",7204
"160",4086
"161",12
"162",178
"163",744
"164",96
"165",0
"166",4
"167",601
"168",0
"169",0
"170",1488
"171",0
"172",0
"173",949081
"174",166264
"175",47556
"176",30121
"177",0
"178",0
"179",0
"180",35207
"181",4720
"182",15170
"183",0
"184",88888
"185",223
"186",92427
"187",90
"188",0
"189",853
"190",191
"191",300
"192",3595191
"193",446
"194",165
"195",0
"196",0
"197",0
"198",83512
"199",0
"200",0
"201",6130
"202",0
"203",0
"204",0
"205",0
"206",2374
"207",4
"208",91960
"209",160302
"210",4764
"211",14655
"212",12150
"213",0
"214",6
"215",720
"216",38
"217",30
"218",0
"219",0
"220",0
"221",4284
"222",0
"223",5737
"224",1950165
"225",0
"226",0
"227",2
"228",34
"229",0
"230",31
"231",60
"232",0
"233",411
"234",245
"235",0
"236",0
"237",0
"238",164
"239",215
"240",0
"241",61216603
"242",6922
"243",0
"244",0
"245",0
"246",25
"247",0
"248",0
"249",5
