"","January"
"1",2997402
"2",47
"3",0
"4",137
"5",30
"6",13962
"7",7
"8",7484
"9",0
"10",0
"11",0
"12",0
"13",0
"14",32214
"15",0
"16",0
"17",19
"18",1370
"19",122
"20",3660
"21",2598
"22",1918
"23",0
"24",0
"25",0
"26",1889
"27",24463
"28",0
"29",0
"30",1644
"31",0
"32",17
"33",62394
"34",0
"35",6218
"36",137257
"37",4650329
"38",0
"39",0
"40",41
"41",0
"42",243
"43",59
"44",401
"45",203628
"46",471
"47",77680
"48",0
"49",30
"50",0
"51",0
"52",0
"53",38057
"54",1214
"55",30
"56",0
"57",15
"58",0
"59",0
"60",574
"61",124
"62",70
"63",9712
"64",1413
"65",3146
"66",5717
"67",183
"68",1893
"69",0
"70",235
"71",430
"72",44580
"73",796
"74",48
"75",5181
"76",0
"77",3316
"78",763
"79",0
"80",265
"81",25
"82",0
"83",1439
"84",0
"85",15
"86",748
"87",93
"88",1304
"89",22041
"90",224
"91",9082
"92",120
"93",126
"94",0
"95",546
"96",671
"97",0
"98",0
"99",0
"100",0
"101",7821
"102",33
"103",0
"104",0
"105",0
"106",1595
"107",1313
"108",97320
"109",145
"110",358
"111",132660
"112",0
"113",0
"114",0
"115",0
"116",68458
"117",13872554
"118",1110
"119",314
"120",4386
"121",0
"122",5391
"123",7363
"124",0
"125",155
"126",0
"127",329
"128",0
"129",0
"130",0
"131",1119
"132",0
"133",4
"134",6690
"135",0
"136",0
"137",4451
"138",6209
"139",29126
"140",773
"141",0
"142",0
"143",12522
"144",0
"145",1779
"146",0
"147",95903
"148",376
"149",0
"150",0
"151",553209
"152",22580
"153",0
"154",0
"155",0
"156",427779
"157",60608
"158",1386
"159",7047
"160",1472
"161",9
"162",0
"163",2152
"164",0
"165",108
"166",4
"167",1873
"168",181
"169",0
"170",1038
"171",0
"172",500
"173",640443
"174",237238
"175",96516
"176",5584
"177",0
"178",0
"179",0
"180",11000
"181",45361
"182",12777
"183",0
"184",0
"185",185
"186",130585
"187",160
"188",0
"189",1038
"190",5
"191",259
"192",1134167
"193",37
"194",354
"195",0
"196",0
"197",100
"198",59166
"199",0
"200",0
"201",4560
"202",0
"203",27
"204",0
"205",30
"206",395
"207",9
"208",68059
"209",252907
"210",38449
"211",7027
"212",10811
"213",120
"214",9
"215",241
"216",230
"217",0
"218",0
"219",0
"220",0
"221",6193
"222",0
"223",5122
"224",1614643
"225",0
"226",0
"227",0
"228",68
"229",0
"230",0
"231",80
"232",720
"233",313
"234",635
"235",0
"236",5
"237",48
"238",1352
"239",452
"240",3
"241",42813245
"242",3571
"243",0
"244",0
"245",0
"246",102
"247",0
"248",11
"249",0
