"","Septem.ber"
"1",482986
"2",12
"3",126
"4",0
"5",776
"6",5586
"7",4
"8",0
"9",929
"10",333
"11",0
"12",39
"13",7
"14",308
"15",0
"16",377
"17",18807
"18",2299
"19",0
"20",0
"21",0
"22",1326
"23",20
"24",12321
"25",0
"26",45
"27",64479
"28",0
"29",22312
"30",0
"31",0
"32",0
"33",0
"34",5504
"35",18357
"36",0
"37",98
"38",1628850
"39",29842
"40",627
"41",0
"42",0
"43",0
"44",2412
"45",12
"46",19
"47",0
"48",5
"49",0
"50",329
"51",0
"52",346
"53",0
"54",9
"55",1513
"56",1221
"57",2054
"58",6266
"59",16620
"60",791
"61",6121
"62",6339
"63",594
"64",108879
"65",998
"66",63
"67",466
"68",66
"69",2688
"70",4253
"71",0
"72",442
"73",16
"74",12
"75",0
"76",0
"77",259
"78",0
"79",301
"80",5209
"81",0
"82",14
"83",283
"84",412
"85",0
"86",36
"87",113
"88",80
"89",27
"90",71
"91",22
"92",12
"93",1209
"94",0
"95",268
"96",0
"97",128
"98",309
"99",6871
"100",1338
"101",0
"102",1592
"103",369488
"104",130727
"105",218
"106",0
"107",0
"108",25462
"109",2560161
"110",0
"111",104
"112",779
"113",6119
"114",0
"115",55
"116",1975
"117",908
"118",0
"119",0
"120",71
"121",0
"122",0
"123",66
"124",0
"125",0
"126",0
"127",1131
"128",0
"129",56
"130",0
"131",0
"132",1084
"133",64
"134",0
"135",2422
"136",0
"137",3882
"138",34432
"139",0
"140",2557
"141",349
"142",801
"143",326912
"144",14957
"145",0
"146",81582
"147",8522
"148",771
"149",522
"150",1314
"151",0
"152",703
"153",627
"154",42
"155",0
"156",0
"157",14
"158",1245
"159",2
"160",0
"161",249
"162",933
"163",104877
"164",75402
"165",0
"166",0
"167",0
"168",247
"169",0
"170",235541
"171",0
"172",1855
"173",0
"174",0
"175",286
"176",594
"177",0
"178",511
"179",40
"180",0
"181",124
"182",2885
"183",2988
"184",334
"185",0
"186",69
"187",7820
"188",0
"189",121
"190",0
"191",52016
"192",83554
"193",0
"194",0
"195",2866
"196",4
"197",0
"198",27449
"199",1616
"200",34975
"201",0
"202",0
"203",22
"204",34246
"205",2279
"206",49336
"207",17347
"208",62
"209",31
"210",1406742
"211",0
"212",6
"213",9004
"214",0
"215",15420
"216",64
"217",3876
"218",976152
"219",3
"220",500
"221",0
"222",234
"223",192
"224",0
"225",60
"226",0
"227",174
"228",42239307
"229",13497
"230",0
"231",0
"232",0
"233",0
