"","September"
"1",540022
"2",1910
"3",0
"4",296
"5",0
"6",960
"7",2871
"8",32404
"9",0
"10",26
"11",0
"12",0
"13",0
"14",5449
"15",1663
"16",0
"17",12
"18",3171
"19",0
"20",3614
"21",2382
"22",950
"23",0
"24",34
"25",0
"26",7775
"27",71065
"28",0
"29",0
"30",1182
"31",0
"32",314
"33",25112
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",4016
"41",0
"42",15778
"43",16
"44",2063
"45",12219728
"46",0
"47",14072
"48",0
"49",0
"50",0
"51",0
"52",543
"53",16463
"54",100
"55",122
"56",0
"57",60
"58",289
"59",0
"60",1967
"61",1288
"62",75
"63",16667
"64",3888
"65",22645
"66",7940
"67",3524
"68",6309
"69",0
"70",2523
"71",6012
"72",112044
"73",2499
"74",283
"75",630
"76",0
"77",8004
"78",10164
"79",0
"80",608
"81",32
"82",0
"83",7491
"84",0
"85",0
"86",2230
"87",1398
"88",3560
"89",28533
"90",3389
"91",68951
"92",1083
"93",240
"94",157
"95",4068
"96",2306
"97",52
"98",4
"99",0
"100",0
"101",1724
"102",1
"103",0
"104",0
"105",457
"106",7438
"107",3670
"108",243679
"109",2077
"110",16487
"111",422148
"112",775337
"113",185
"114",221
"115",100
"116",212060
"117",11738897
"118",1372
"119",1006
"120",5638
"121",0
"122",7488
"123",911
"124",0
"125",233
"126",0
"127",95
"128",0
"129",0
"130",0
"131",1556
"132",745
"133",0
"134",20897
"135",0
"136",0
"137",2942
"138",3203
"139",14412
"140",536
"141",0
"142",0
"143",21048
"144",5
"145",0
"146",0
"147",159678
"148",599
"149",2089
"150",0
"151",845355
"152",94090
"153",0
"154",0
"155",0
"156",58655
"157",53163
"158",1034
"159",1858
"160",1093
"161",16
"162",0
"163",552
"164",29
"165",0
"166",0
"167",2860
"168",0
"169",0
"170",1162
"171",0
"172",0
"173",335947
"174",160980
"175",49451
"176",12687
"177",32
"178",80
"179",0
"180",1545410
"181",26590
"182",32222
"183",0
"184",9248
"185",121
"186",417569
"187",357
"188",222
"189",874
"190",424
"191",10154
"192",0
"193",0
"194",34
"195",167
"196",0
"197",0
"198",102119
"199",4
"200",0
"201",5846
"202",0
"203",0
"204",2341
"205",0
"206",9139
"207",0
"208",0
"209",785
"210",47185
"211",11016
"212",149741
"213",12117
"214",13
"215",0
"216",41009
"217",0
"218",0
"219",80
"220",0
"221",17994
"222",0
"223",150
"224",1462842
"225",825
"226",0
"227",0
"228",113
"229",0
"230",0
"231",100
"232",528
"233",814
"234",525
"235",0
"236",0
"237",66
"238",2519
"239",304
"240",586
"241",4409020
"242",3294
"243",0
"244",0
"245",0
"246",83
"247",0
"248",2
"249",6
