Species,January,February,March,April,May,June,July,August,September,October,November,December,,Landings
California Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Anchovy, northern........................",0,0,0,0,0,0,14,31,0,0,0,0,,45
"Croaker, white................................",0,0,0,0,0,0,94,312,370,8,0,0,,784
Grenadier........................................,0,0,0,0,0,0,"1,677",150,0,0,0,0,,"1,827"
Hagfishes.......................................,"30,557","14,305","7,856","35,355","23,550","8,372","55,448","24,647","19,124","24,647","10,650","13,371",,"267,882"
"Halibut, California.........................",0,0,0,0,271,341,"1,867","1,297","1,038",0,9,22,,"4,845"
Jacksmelt........................................,0,0,0,234,0,0,0,0,0,0,0,0,,234
Lingcod............................................,207,0,0,0,284,32,231,517,875,"1,679",590,"1,178",,"5,591"
"Mudsucker, longjaw.....................",0,0,0,0,0,0,0,0,0,0,0,213,,213
"Prickleback, monkeyface (eel)..",0,25,23,0,0,0,0,0,0,0,0,0,,48
"Rockfish, black..............................",0,0,0,0,0,2,0,0,0,0,0,61,,63
"Rockfish, blackgill........................",343,9,107,775,223,419,906,"1,160",635,354,228,94,,"5,253"
"Rockfish, blue................................",0,0,0,0,0,0,0,73,153,0,0,0,,226
"Rockfish, bocaccio......................",0,0,0,0,0,0,1,14,191,18,23,214,,461
"Rockfish, brown............................",0,0,0,0,0,95,0,0,175,0,0,0,,270
"Rockfish, canary...........................",0,0,0,0,0,0,2,136,95,44,0,40,,317
"Rockfish, group deep nearshor",0,0,0,0,0,0,0,0,265,0,0,0,,265
"Rockfish, group shelf..................",0,0,0,0,0,0,0,0,181,0,0,0,,181
"Rockfish, olive...............................",0,0,0,0,0,0,0,71,85,0,0,0,,156
"Rockfish, redbanded....................",0,0,0,0,0,0,0,0,1,0,0,0,,1
"Rockfish, speckled.......................",0,0,0,0,0,0,0,3,5,6,0,0,,14
"Rockfish, vermilion.......................",0,0,0,0,0,0,4,65,18,11,0,8,,107
"Rockfish, widow............................",0,0,0,0,0,0,0,40,128,2,6,45,,221
"Rockfish, yellowtail......................",0,0,0,0,0,0,0,192,"1,295",334,356,"1,414",,"3,591"
Sablefish.........................................,"9,396","5,803","12,309","25,101","14,921","9,178","18,290","20,525","9,535","19,427","15,324","10,114",,"169,923"
"Salmon, Chinook...........................",0,0,0,0,712,0,0,"88,787","44,025",327,0,0,,"133,850"
"Salmon, Roe (Chinook, Coho)....",0,0,0,0,0,0,0,8,42,0,0,0,,50
"Seabass, white.............................",0,0,0,0,0,0,0,0,14,0,0,0,,14
"Shark, thresher..............................",0,0,0,0,0,0,0,0,10,0,0,0,,10
"Smelt, surf......................................",0,0,0,59,0,0,0,0,0,0,0,0,,59
"Sole, Dover.....................................",30,0,6,0,0,0,0,0,0,0,0,0,,36
"Sole, petrale...................................",12,0,3,0,0,0,0,4,0,0,30,0,,49
"Surfperch, barred..........................",0,0,0,"1,206",0,0,0,0,0,0,0,0,,"1,206"
"Surfperch, rubberlip.....................",0,0,50,0,0,0,0,0,0,0,0,0,,50
"Surfperch, shiner..........................",0,0,0,40,97,92,0,0,0,0,0,0,,229
"Thornyhead, shortspine..............",399,7,338,654,405,282,288,651,150,100,269,360,,"3,903"
Thornyheads..................................,0,0,0,0,0,0,2,0,0,1,0,1,,4
Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Tuna, albacore..............................",0,0,0,0,0  0,,0,"11,655","1,050",0,0,0,,"12,705"
Crustaceans,,,,,,,,,,,,,,
"Crab, Dungeness..........................","508,288","255,735","137,768","149,260","126,394  64,019",,"9,684",0,0,0,"947,423","627,828",,"2,826,398"
"Crab, box.........................................",0,0,73,195,0  0,,0,0,0,0,0,0,,268
"Crab, brown rock...........................",0,"1,016",0,0,823  0,,0,0,0,"3,697",0,"5,762",,"11,298"
"Crab, red rock................................",0,"2,954",0,0,"5,070  1,214",,0,0,0,"10,817","3,723","5,239",,"29,017"
"Crab, rock unspecified................",96,"1,387","2,379",0,0  0,,0,0,"3,413","12,399","1,083",0,,"20,757"
"Crab, yellow rock..........................",0,0,0,0,0  0,,0,0,0,726,0,0,,726
Echinoderms,,,,,,,,,,,,,,
"Sea cucumber, giant red............",0,0,0,0,0  365,,700,"2,263",950,140,0,0,,"4,417"
"Sea urchin, red..............................",0,0,609,0,0  0,,0,0,300,220,0,"1,050",,"2,179"
Waters Area Total:,"549,328","281,241","161,521","212,879","172,749  84,411",,"89,209","152,600","84,122","74,956","979,713","667,014",,"3,509,742"
Grand Total:,"549,328","281,241","161,521","212,879","172,749  84,411",,"89,209","152,600","84,122","74,956","979,713","667,014",,"3,509,742"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,"3,329",,,,
"",,,,,End of Report,,,,,,,,,
