Species,January,February,March,April,May June,,July,August,September,October,November,December,,Landings
alifornia Waters,,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,,
"Shad, American.............................",0,0,0,40,0  0,,0,0,0,0,0,0,,40
"Shad, threadfin..............................",0,0,90,85,95  20,,"2,410","3,815","3,775","5,645","1,166",155,,"17,256"
Crustaceans,,,,,,,,,,,,,,
"Crayfish, red swamp....................",0,0,0,0,0  0,,120,"9,020","1,607",0,0,240,,"10,987"
"Crayfish, unspecified..................",552,844,"1,309","2,499","5,172  3,418",,"3,861","26,381","7,772","5,668",276,"2,417",,"60,169"
"Shrimp, brine..................................",0,0,0,0,"0  7,381",,0,0,0,0,0,0,,"7,381"
Waters Area Total:,552,844,"1,399","2,624","5,267  10,819",,"6,391","39,216","13,154","11,313","1,442","2,812",,"95,833"
ther Waters,,,,,,,,,,,,,,
Crustaceans,,,,,,,,,,,,,,
"Crayfish, red swamp....................",0,0,0,0,0  0,,0,0,920,0,0,0,,920
Waters Area Total:,0,0,0,0,0  0,,0,0,920,0,0,0,,920
Grand Total:,552,844,"1,399","2,624","5,267  10,819",,"6,391","39,216","14,074","11,313","1,442","2,812",,"96,753"
"",,,,,*******************,,,,,,,,,
"",,,,,,,,,Total Records:,357,,,,
"",,,,,End of Report,,,,,,,,,
